wine_id,wine_name,winery,wine_type,grape_variety,region,country,vintage,average_rating,num_ratings,price_eur,wine_style,food_pairing,alcohol_content,wine_url,scrape_date
10180276,Nostos (Νόστος),Valdisole,Red wine,Brachetto,Piemonte,Italy,2021,4.1,46,32.69,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",13,https://www.vivino.com/en/valdisole-nostos-nostos/w/10180276?year=2021&price_id=34975051,2026-04-07
1100700,Barbera d'Alba Piani,Pelissero,Red wine,Barbera,Barbera d'Alba,Italy,2023,3.9,6502,22.40,Italian Barbera,"Veal; Pork; Poultry; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/pelissero-barbera-d-alba-piani/w/1100700?year=2023&price_id=41048593,2026-04-07
1361662,Raboso del Piave Il Tralcetto,Italo Cescon,Red wine,Raboso Piave,Piave,Italy,2019,4.1,578,16.10,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",12.5,https://www.vivino.com/en/italo-cescon-raboso-del-piave-il-tralcetto/w/1361662?year=2019&price_id=41654809,2026-04-07
7513068,Stigma Sforzato di Valtellina,Il Gabbiano,Red wine,Nebbiolo,Sforzato della Valtellina,Italy,2020,4.1,165,45.97,Italian Nebbiolo,"Beef; Lamb; Poultry; Game (deer, venison)",15.5,https://www.vivino.com/en/il-gabbiano-valtellina-stigma-sforzato-di-valtellina/w/7513068?year=2020&price_id=36213748,2026-04-07
12161208,Ruota Libera Rosso,Progetto Vino,Red wine,"Nero di Troia, Sangiovese, Primitivo, Bombino Nero, Negroamaro",Puglia,Italy,2022,4.2,134,13.20,Southern Italy Red,Beef; Lamb; Pasta,14,https://www.vivino.com/en/progetto-vino-ruota-libera-rosso/w/12161208?year=2022&price_id=37751317,2026-04-07
1441581,Dasempre del Pozzo Buono Lacrima di Morro d'Alba,Vicari,Red wine,Lacrima,Lacrima di Morro d'Alba,Italy,2023,4.0,2895,13.02,Central Italy Red,Beef; Veal; Poultry; Pasta,14.5,https://www.vivino.com/en/vicari-dasempre-del-pozzo-buono-lacrima-di-morro-d-alba/w/1441581?year=2023&price_id=41818181,2026-04-07
1696803,Nebbiolo,Rocche dei Manzoni,Red wine,Nebbiolo,Langhe,Italy,2023,4.0,2653,34.20,Italian Nebbiolo,"Beef; Lamb; Poultry; Game (deer, venison)",13.5,https://www.vivino.com/en/podere-rocche-dei-manzoni-nebbiolo-langhe/w/1696803?year=2023&price_id=39921922,2026-04-07
6000319,Campo alla Giostra Bolgheri,Donna Olimpia,Red wine,Cabernet Sauvignon,Bolgheri,Italy,2023,4.1,839,33,Italian Bolgheri,"Beef; Lamb; Veal; Pasta; Game (deer, venison)",13,https://www.vivino.com/en/donna_olimpia-campo-alla-giostra-bolgheri-bolgheri/w/6000319?year=2023&price_id=41112366,2026-04-07
1621300,Madreselva Lazio Rosso,Casale del Giglio,Red wine,"Cabernet Sauvignon, Merlot, Petit Verdot",Lazio,Italy,2018,3.9,2054,32,Central Italy Red,Beef; Veal; Poultry; Pasta,13.5,https://www.vivino.com/en/casale-del-giglio-madreselva-lazio-rosso/w/1621300?year=2018&price_id=41818229,2026-04-07
9752000,Sambrena Syrah,Tenuta la Novella,Red wine,Shiraz/Syrah,Vino d'Italia,Italy,2023,4.1,385,29.52,Italian Red,"Beef; Lamb; Veal; Pasta; Game (deer, venison); Cured Meat",,https://www.vivino.com/en/tenuta-la-novella-sambrena-syrah-vino-da-tavola/w/9752000?year=2023&price_id=40762635,2026-04-07
2349133,Barolo,Abbona,Red wine,Nebbiolo,Barolo,Italy,2017,4.1,3462,36.19,Italian Barolo,"Beef; Lamb; Pasta; Game (deer, venison)",15,https://www.vivino.com/en/abbona-marziano-and-c-ss-barolo-barolo/w/2349133?year=2017&price_id=41818079,2026-04-07
10105484,Barbaresco Faset,Piercarlo Culasso,Red wine,Nebbiolo,Barbaresco,Italy,2018,4.2,309,36.36,Italian Barbaresco,"Beef; Lamb; Pasta; Game (deer, venison)",14.5,https://www.vivino.com/en/piercarlo-culasso-barbaresco-faset/w/10105484?year=2018&price_id=41818086,2026-04-07
8072736,Nero'd Avola - Cabernet Sauvignon,Trementi,Red wine,"Cabernet Sauvignon, Nero d'Avola",Sicilia,Italy,2023,4.1,836,9.86,Southern Italy Red,Beef; Lamb; Pasta,13.5,https://www.vivino.com/en/trementi-nero-d-avola-cabernet-sauvignon/w/8072736?year=2023&price_id=38176620,2026-04-07
1441581,Dasempre del Pozzo Buono Lacrima di Morro d'Alba,Vicari,Red wine,Lacrima,Lacrima di Morro d'Alba,Italy,2020,4.0,2895,13.02,Central Italy Red,Beef; Veal; Poultry; Pasta,14.5,https://www.vivino.com/en/vicari-dasempre-del-pozzo-buono-lacrima-di-morro-d-alba/w/1441581?year=2020&price_id=41818178,2026-04-07
1180578,Marzieno Ravenna Rosso,Fattoria Zerbina,Red wine,"Shiraz/Syrah, Cabernet Sauvignon, Merlot, Sangiovese",Ravenna,Italy,2019,4.1,1326,40.36,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/fattoria-zerbina-marzieno-ravenna-rosso/w/1180578?year=2019&price_id=41818129,2026-04-07
1972287,Montepulciano d'Abruzzo Riserva,Contesa,Red wine,Montepulciano,Montepulciano d'Abruzzo,Italy,2020,4.1,534,24.72,Italian Montepulciano d'Abruzzo,Beef; Veal; Pork; Pasta,13.5,https://www.vivino.com/en/contesa-montepulciano-d-abruzzo-riserva/w/1972287?year=2020&price_id=41818234,2026-04-07
8043818,Mommotino,Gibadda,Red wine,"Bovale, Monica, Barbera Sarda, Carignan, Cannonau",Isola dei Nuraghi,Italy,2024,4.1,54,18.13,Southern Italy Red,Beef; Lamb; Pasta,14,https://www.vivino.com/en/gibadda-mommotino/w/8043818?year=2024&price_id=41743544,2026-04-07
1755381,Il Maschio da Monte Rosso,Azienda Santa Barbara - Stefano Antonucci,Red wine,Montepulciano,Rosso Piceno,Italy,2023,4.1,1751,29.45,Central Italy Red,Beef; Veal; Poultry; Pasta,14.5,https://www.vivino.com/en/azienda-santa-barbara-il-maschio-da-monte-rosso/w/1755381?year=2023&price_id=40906077,2026-04-07
10814059,"Rabià Raboso del Piave ""Creta""",Italo Cescon,Red wine,Raboso Piave,Piave,Italy,2018,4.1,43,53.70,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",13,https://www.vivino.com/en/italo-cescon-rabia-raboso-del-piave-creta/w/10814059?year=2018&price_id=41654812,2026-04-07
7437745,Barolo,Voerzio Martini,Red wine,Nebbiolo,Barolo,Italy,2017,4.1,335,50.86,Italian Barolo,"Beef; Lamb; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/voerzio-martini-piedmont-barolo/w/7437745?year=2017&price_id=35049509,2026-04-07
12385575,Peraria Refosco dal Peduncolo Rosso,Scarbolo,Red wine,Refosco dal Peduncolo rosso,Friuli-Venezia Giulia,Italy,2020,4.0,33,35.86,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",14.3,https://www.vivino.com/en/scarbolo-peraria-refosco-dal-peduncolo-rosso/w/12385575?year=2020&price_id=36462055,2026-04-07
1168556,Teroldego Rotaliano Vigilius,De Vescovi Ulzbach,Red wine,Teroldego,Teroldego Rotaliano,Italy,2022,4.1,1459,36.96,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/vescovi-ulzbach-teroldego-rotaliano-vigilius/w/1168556?year=2022&price_id=41605287,2026-04-07
2144074,Basilica Solatio Chianti Classico Riserva,Cafaggio,Red wine,Sangiovese,Chianti Classico,Italy,1994,4.1,1671,56.03,Italian Chianti Classico Red,Beef; Veal; Pasta; Cured Meat,14.5,https://www.vivino.com/en/cafaggio-basilica-solatio-chianti-classico-riserva/w/2144074?year=1994&price_id=34247587,2026-04-07
1254102,Ël Sartù Langhe Nebbiolo,Parusso,Red wine,Nebbiolo,Langhe,Italy,2023,3.9,5989,22.70,Italian Nebbiolo,"Beef; Lamb; Poultry; Game (deer, venison)",14,https://www.vivino.com/en/parusso-el-sartu-langhe-nebbiolo/w/1254102?year=2023&price_id=41048690,2026-04-07
1760299,Cabernet Istrice,Elena Walch,Red wine,"Cabernet Sauvignon, Cabernet Franc",Südtirol - Alto Adige,Italy,2024,4.1,2521,31,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",13,https://www.vivino.com/en/elena-walch-cabernet-istrice/w/1760299?year=2024&price_id=41770959,2026-04-07
1743676,Colle Forca Montepulciano d'Abruzzo,Cantina Tenuta Torretta,Red wine,Montepulciano,Montepulciano d'Abruzzo,Italy,2008,4.1,40,50.96,Italian Montepulciano d'Abruzzo,Beef; Veal; Pork; Pasta,14,https://www.vivino.com/en/cantina-tenuta-torretta-colle-forca-montepulciano-d-abruzzo/w/1743676?year=2008&price_id=33794708,2026-04-07
10332203,Casi Gran Selezione Chianti Classico,Castello di Meleto,Red wine,Sangiovese,Chianti Classico,Italy,2020,4.2,403,53.90,Italian Chianti Classico Red,Beef; Veal; Pasta; Cured Meat,14,https://www.vivino.com/en/castello-di-meleto-casi-gran-selezione-chianti-classico/w/10332203?year=2020&price_id=40368779,2026-04-07
10629553,Monte Diavoli Primitivo di Manduria,Masseria Cuturi,Red wine,Primitivo,Primitivo di Manduria,Italy,2021,4.1,111,51,Southern Italy Primitivo,Beef; Lamb; Poultry; Pasta,16.5,https://www.vivino.com/en/masseria-cuturi-monte-diavoli-primitivo-di-manduria/w/10629553?year=2021&price_id=41015234,2026-04-07
4993426,Lenos Primitivo,Tenuta Patruno Perniola,Red wine,Primitivo,Puglia,Italy,2024,4.1,771,20.80,Southern Italy Primitivo,Beef; Lamb; Poultry; Pasta,14,https://www.vivino.com/en/tenuta-patruno-perniola-lenos-primitivo/w/4993426?year=2024&price_id=41083065,2026-04-07
2205985,Lusira Syrah,Baglio del Cristo di Campobello,Red wine,Shiraz/Syrah,Sicilia,Italy,2020,4.2,1980,35.24,Southern Italy Red,Beef; Lamb; Pasta,14,https://www.vivino.com/en/baglio-del-cristo-di-campobello-lusira-syrah/w/2205985?year=2020&price_id=38225625,2026-04-07
1757712,Titinge Riserva,Fontefico,Red wine,Montepulciano,Montepulciano d'Abruzzo,Italy,2018,4.1,326,40.80,Italian Montepulciano d'Abruzzo,Beef; Veal; Pork; Pasta,14,https://www.vivino.com/en/fontefico-titinge-riserva/w/1757712?year=2018&price_id=41063086,2026-04-07
1980279,Soloìo,Casa Emma,Red wine,Merlot,Colli della Toscana Centrale,Italy,2001,4.1,618,51.36,Tuscan Red,Beef; Lamb; Veal; Poultry; Cured Meat,13.5,https://www.vivino.com/en/azienda-agricola-casa-emma-di-lepri-f-soloio/w/1980279?year=2001&price_id=33789822,2026-04-07
7068285,Monleale,Canevaro Luca,Red wine,Barbera,Colli Tortonesi,Italy,2019,4.1,98,19.96,Italian Barbera,"Veal; Pork; Poultry; Pasta; Game (deer, venison)",,https://www.vivino.com/en/canevaro-luca-monleale/w/7068285?year=2019&price_id=38164586,2026-04-07
7935044,Langhe Nebbiolo,Fogliati,Red wine,Nebbiolo,Langhe,Italy,2023,4.1,534,34.08,Italian Nebbiolo,"Beef; Lamb; Poultry; Game (deer, venison)",,https://www.vivino.com/en/fogliati-langhe-nebbiolo/w/7935044?year=2023&price_id=39056372,2026-04-07
1196412,Il Fusco,La Roncaia,Red wine,Merlot,Friuli-Venezia Giulia,Italy,2018,3.9,794,25.90,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",13.9,https://www.vivino.com/en/roncaia-il-fusco/w/1196412?year=2018&price_id=37552403,2026-04-07
1255597,Barabba Barbera,Iuli,Red wine,Barbera,Barbera del Monferrato Superiore,Italy,2023,4.1,561,49.57,Italian Barbera,"Veal; Pork; Poultry; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/it-iuli-barabba-barbera/w/1255597?year=2023&price_id=40535875,2026-04-07
1309296,Estatatura,Poderi di Ghiaccioforte,Red wine,Sangiovese,Maremma Toscana,Italy,2018,3.9,483,25.84,Tuscan Red,Beef; Lamb; Veal; Poultry; Cured Meat,14,https://www.vivino.com/en/poderi-di-ghiaccioforte-estatatura/w/1309296?year=2018&price_id=33798218,2026-04-07
1647861,Fralù Langhe Nebbiolo,Bruno Rocca,Red wine,Nebbiolo,Langhe,Italy,2023,4.0,4002,33.52,Italian Nebbiolo,"Beef; Lamb; Poultry; Game (deer, venison)",14.5,https://www.vivino.com/en/bruno-rocca-fralu-langhe-nebbiolo/w/1647861?year=2023&price_id=38467798,2026-04-07
9386302,Le Rose Nizza Riserva,Franco Mondo,Red wine,Barbera,Nizza,Italy,2019,4.1,307,41.38,Italian Barbera,"Veal; Pork; Poultry; Pasta; Game (deer, venison)",14.5,https://www.vivino.com/en/franco-mondo-le-rose-nizza-riserva/w/9386302?year=2019&price_id=40586516,2026-04-07
7255179,Barolo del Comune di la Morra,Marcarini,Red wine,Nebbiolo,Barolo,Italy,2021,4.0,2060,39.80,Italian Barolo,"Beef; Lamb; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/marcarini-barolo-del-comune-di-la-morra/w/7255179?year=2021&price_id=40565554,2026-04-07
1980279,Soloìo,Casa Emma,Red wine,Merlot,Colli della Toscana Centrale,Italy,1998,4.1,618,51.36,Tuscan Red,Beef; Lamb; Veal; Poultry; Cured Meat,13.5,https://www.vivino.com/en/azienda-agricola-casa-emma-di-lepri-f-soloio/w/1980279?year=1998&price_id=34247608,2026-04-07
1168462,Morellino di Scansano,Podere 414,Red wine,Sangiovese,Morellino di Scansano,Italy,2023,3.9,8368,27.45,Tuscan Red,Beef; Lamb; Veal; Poultry; Cured Meat,13.5,https://www.vivino.com/en/podere-414-morellino-di-scansano/w/1168462?year=2023&price_id=39573633,2026-04-07
10265842,Gallico Petit Verdot,Tenuta Campo al Mare,Red wine,Petit Verdot,Toscana,Italy,2019,4.1,309,35.90,Tuscan Red,Beef; Lamb; Veal; Poultry; Cured Meat,15.5,https://www.vivino.com/en/tenuta-campo-al-mare-gallico-petit-verdot/w/10265842?year=2019&price_id=35403348,2026-04-07
1130196,Barbera d'Alba Superiore Vigna del Cuculo,Cavallotto,Red wine,"Barbera, Dolcetto",Barbera d'Alba,Italy,2020,4.0,3107,42.34,Italian Barbera,"Veal; Pork; Poultry; Pasta; Game (deer, venison)",14.5,https://www.vivino.com/en/cavallotto-barbera-d-alba-superiore-vigna-del-cuculo/w/1130196?year=2020&price_id=41818185,2026-04-07
73628,Vittoria Barbera d'Alba,Gianfranco Alessandria,Red wine,Barbera,Barbera d'Alba,Italy,1999,4.1,1021,41.90,Italian Barbera,"Veal; Pork; Poultry; Pasta; Game (deer, venison)",15,https://www.vivino.com/en/gianfranco-alessandria-vittoria-barbera-d-alba/w/73628?year=1999&price_id=34305776,2026-04-07
20952,Roero Valmaggiore Riserva,Cascina Chicco,Red wine,Nebbiolo,Roero,Italy,2021,4.1,1687,23.46,Italian Nebbiolo,"Beef; Lamb; Poultry; Game (deer, venison)",14,https://www.vivino.com/en/cascina-chicco-roero-valmaggiore-riserva/w/20952?year=2021&price_id=41010426,2026-04-07
4535857,Giuliano Chianti Classico Riserva,Castello La Leccia,Red wine,Sangiovese,Chianti Classico,Italy,2019,4.1,212,34.56,Italian Chianti Classico Red,Beef; Veal; Pasta; Cured Meat,14.5,https://www.vivino.com/en/castello-la-leccia-giuliano-chianti-classico-riserva/w/4535857?year=2019&price_id=37833922,2026-04-07
13171102,Feudo di Mezzo Rosso,Massimo Lentsch,Red wine,Nerello Mascalese,Etna,Italy,2021,4.1,51,48,Southern Italy Red,Beef; Lamb; Pasta,14,https://www.vivino.com/en/massimo-lentsch-feudo-di-mezzo-rosso/w/13171102?year=2021&price_id=39181590,2026-04-07
2452434,Genio Superiore Barbera d'Asti,Gianni Doglia,Red wine,Barbera,Barbera d'Asti,Italy,2022,4.1,874,25.13,Italian Barbera,"Veal; Pork; Poultry; Pasta; Game (deer, venison)",15,https://www.vivino.com/en/gianni-doglia-genio-superiore-barbera-d-asti/w/2452434?year=2022&price_id=40573656,2026-04-07
1739467,Monferrato Merlot da Solo,Marchesi di Gresy,Red wine,Merlot,Monferrato,Italy,2013,4.1,656,35.75,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/cisa-asinari-monferrato-merlot-da-solo/w/1739467?year=2013&price_id=38120887,2026-04-07
3164948,Barbaresco Giacone,Cascina Alberta,Red wine,Nebbiolo,Barbaresco,Italy,2021,4.0,1304,41.93,Italian Barbaresco,"Beef; Lamb; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/alberta-barbaresco-giacone/w/3164948?year=2021&price_id=37269273,2026-04-07
2293452,Gran Selezione Chianti Classico,Tenuta di Lilliano,Red wine,"Merlot, Sangiovese",Chianti Classico,Italy,2019,4.0,658,40.76,Italian Chianti Classico Red,Beef; Veal; Pasta; Cured Meat,14,https://www.vivino.com/en/lilliano-gran-selezione-chianti-classico/w/2293452?year=2019&price_id=34230781,2026-04-07
5901646,Amarone della Valpolicella,Corte Saiole,Red wine,"Corvina, Rondinella, Molinara",Amarone della Valpolicella,Italy,2018,4.1,286,33.76,Italian Amarone,"Beef; Lamb; Game (deer, venison); Blue cheese",14.5,https://www.vivino.com/en/corte-saiole-amarone-della-valpolicella/w/5901646?year=2018&price_id=33795586,2026-04-07
737108,Montefalco Rosso,Adanti,Red wine,"Cabernet Sauvignon, Merlot, Sangiovese, Barbera, Sagrantino",Montefalco,Italy,2020,3.8,1913,15.18,Central Italy Red,Beef; Veal; Poultry; Pasta,14.5,https://www.vivino.com/en/adanti-montefalco-rosso/w/737108?year=2020&price_id=38468736,2026-04-07
4527114,Nuracada Bovale Isola dei Nuraghi,Audarya,Red wine,Bovale,Isola dei Nuraghi,Italy,2020,4.1,750,34.65,Southern Italy Red,Beef; Lamb; Pasta,14.5,https://www.vivino.com/en/audarya-nuracada-bovale-isola-dei-nuraghi/w/4527114?year=2020&price_id=34195966,2026-04-07
1102060,Antica Chiusina Vino Nobile di Montepulciano,Fattoria del Cerro,Red wine,Sangiovese,Vino Nobile di Montepulciano,Italy,2017,4.1,2118,37.50,Italian Vino Nobile Di Montepulciano,"Beef; Poultry; Game (deer, venison)",14.5,https://www.vivino.com/en/it-fattoria-del-cerro-antica-chiusina-vino-nobile-di-montepulciano/w/1102060?year=2017&price_id=39836968,2026-04-07
1195062,Rosso del Soprano,Palari,Red wine,Nerello Mascalese,Terre Siciliane,Italy,2016,3.9,2209,24.60,Southern Italy Red,Beef; Lamb; Pasta,13,https://www.vivino.com/en/palari-rosso-del-soprano/w/1195062?year=2016&price_id=35653443,2026-04-07
12034611,Nero d'Avola Douar,Tenute Orestiadi,Red wine,Nero d'Avola,Sicilia,Italy,2023,4.1,273,14.86,Southern Italy Red,Beef; Lamb; Pasta,14,https://www.vivino.com/en/tenute-orestiadi-nero-d-avola-douar/w/12034611?year=2023&price_id=40919476,2026-04-07
9261,Taurasi Radici,Mastroberardino,Red wine,Aglianico,Taurasi,Italy,2020,4.1,15540,38.90,Southern Italy Red,Beef; Lamb; Pasta,14,https://www.vivino.com/en/mastroberardino-taurasi-radici/w/9261?year=2020&price_id=41035227,2026-04-07
9725131,Langhe Nebbiolo,Davide Pellizzari,Red wine,Nebbiolo,Langhe,Italy,2021,3.9,325,35.85,Italian Nebbiolo,"Beef; Lamb; Poultry; Game (deer, venison)",,https://www.vivino.com/en/davide-pellizzari-langhe-nebbiolo/w/9725131?year=2021&price_id=36384195,2026-04-07
1501023,Passo del Cardinale Primitivo di Manduria,Paololeo,Red wine,Primitivo,Primitivo di Manduria,Italy,2023,4.1,14934,13.88,Southern Italy Primitivo,Beef; Lamb; Poultry; Pasta,14,https://www.vivino.com/en/it-paololeo-passo-del-cardinale-primitivo-di-manduria/w/1501023?year=2023&price_id=37893255,2026-04-07
3753805,Südtiroler Blauburgunder,Prackfol,Red wine,Blauburgunder,Trentino-Alto Adige,Italy,2022,4.1,556,48.09,Northern Italy Pinot Noir,"Beef; Veal; Poultry; Game (deer, venison)",13.5,https://www.vivino.com/en/prackfol-sudtiroler-blauburgunder-trentino-alto-adige/w/3753805?year=2022&price_id=39364398,2026-04-07
2797992,Valletta,Firmino Miotti,Red wine,"Cabernet Sauvignon, Merlot",Veneto,Italy,2016,4.1,119,40.32,Northern Italy Red,"Beef; Lamb; Pasta; Game (deer, venison)",14.5,https://www.vivino.com/en/firmino-miotti-valletta/w/2797992?year=2016&price_id=35016822,2026-04-07
2318371,Pian Cavallo Barbaresco,Negro Giuseppe,Red wine,Nebbiolo,Barbaresco,Italy,2020,4.1,774,57.85,Italian Barbaresco,"Beef; Lamb; Pasta; Game (deer, venison)",14,https://www.vivino.com/en/negro-giuseppe-pian-cavallo-barbaresco-piedmont/w/2318371?year=2020&price_id=35071461,2026-04-07
